id,apiId,model,promptTokens,completionTokens,totalTokens,cost,ip,openaiKeyId,createTime
1064900911,chatcmpl-CmD4zLNFFkCIPQ0Wbm8t6x8rgNjdC,gpt-4o,467,33,500,0.0104825,36.103.203.3,147768,1765606058000
1064900876,chatcmpl-CmD4xxJAkC0cQG2Y1cySerevnNVFY,gpt-4o,111,29,140,0.0039725,36.103.203.3,147768,1765606056000
1064900848,chatcmpl-CmD4wlP4GZ9HYcYxmIqaAqmA50IQF,gpt-4o,495,39,534,0.0113925,36.103.203.2,147768,1765606055000
1064900820,chatcmpl-CmD4vqN4Btl3vNTtzUQcs5LWCYBne,gpt-4o,131,29,160,0.0043225,36.103.203.3,147768,1765606054000
1064900785,chatcmpl-CmD4uejeICljGdi3JoMJa3EUnVox5,gpt-4o,486,39,525,0.011235,36.103.203.2,147768,1765606053000
1064900759,chatcmpl-CmD4sEwATcosapB5Jgkpk7q65F4VQ,gpt-4o,137,36,173,0.0049175,36.103.203.2,147768,1765606051000
1064900729,chatcmpl-CmD4r5X4OT3NEHQ06llIw30cJxrEh,gpt-4o,514,33,547,0.011305,36.103.203.2,147768,1765606050000
1064900692,chatcmpl-CmD4qGuzCNNFMn4kvZ317mUVQ7FQo,gpt-4o,150,34,184,0.005005,36.103.203.2,147768,1765606049000
1064900533,chatcmpl-CmD4jBP5mR3Z2OR8MfI4mUwAuqHHE,gpt-4o,493,33,526,0.0109375,36.103.203.3,147768,1765606042000
1064900511,chatcmpl-CmD4ijV730ILgUMzdrF8HkmCxBvvP,gpt-4o,138,30,168,0.004515,36.103.203.3,147768,1765606041000
1064900467,chatcmpl-CmD4cFUd4Tsqviko6zZpLhxIMLpK6,gpt-4o,62338,389,62727,1.118145,36.103.203.2,147768,1765606039000
1064839538,chatcmpl-CmCZ1Zz3rdJcW7pVokJQPivRM09XN,gpt-4o,1313,94,1407,0.0295575,36.103.203.2,147768,1765604076000
1064839482,chatcmpl-CmCYybu6QyNvckm04yZgI2ElieUsb,gpt-4o,2704,136,2840,0.05684,36.103.203.3,149056,1765604075000
1064839312,chatcmpl-CmCYuQWvh2t2TfKYGuLEUTaPOGf1C,gpt-4o,528,34,562,0.01162,36.103.203.3,147768,1765604069000
1064839277,chatcmpl-CmCYtKUEKPBhHTHxNu38IL5SBGqDR,gpt-4o,170,44,214,0.006055,36.103.203.2,147768,1765604068000
1064839239,chatcmpl-CmCYr7caSmrPbUIElbMBEI1JClof4,gpt-4o,541,41,582,0.0123375,36.103.203.2,147768,1765604066000
1064839205,chatcmpl-CmCYqwJs3ZnwcizD2cOf8Xz3C9a79,gpt-4o,178,33,211,0.005425,36.103.203.3,147768,1765604065000
1064839178,chatcmpl-CmCYmju1z3U4GMNxJPaDNqWIwbKtC,gpt-4o,18709,241,18950,0.3442775,36.103.203.2,147768,1765604064000
1064778055,chatcmpl-CmC2jOBZ7DOd458Ifct1Ql8O0mMxG,gpt-4o,1291,94,1385,0.0291725,36.103.203.2,147768,1765602074000
1064778005,chatcmpl-CmC2h0UFwgXmjYVzqlJbxd8B5UdsN,gpt-4o,2709,110,2819,0.0551075,36.103.203.2,147768,1765602073000
1064777949,chatcmpl-CmC2gbkt0RFSNFSU6PyCAYgW4gEyT,gpt-4o,485,33,518,0.0107975,36.103.203.2,147768,1765602071000
1064777898,chatcmpl-CmC2fMZUbDQmInFJUbdvgNW1QZgdE,gpt-4o,136,32,168,0.00462,36.103.203.2,147768,1765602070000
1064777869,chatcmpl-CmC2duZgjGQutlypfMNgJsmUzksyl,gpt-4o,457,42,499,0.0109375,36.103.203.3,147768,1765602068000
1064777810,chatcmpl-CmC2cfeCw13bbnr4mRYCe2Mjwrr9O,gpt-4o,102,19,121,0.003115,36.103.203.3,147768,1765602067000
1064777744,chatcmpl-CmC2aKdWkrOlq2hpYv4uiAOHtqiTP,gpt-4o,530,39,569,0.012005,36.103.203.2,147768,1765602065000
1064777673,chatcmpl-CmC2YYW3N4kcGpXYKhkdOWP3EYdAd,gpt-4o,168,34,202,0.00532,36.103.203.3,147768,1765602064000
1064777640,chatcmpl-CmC2XVQpPrMgwfEy1xJeTYR4LWKXM,gpt-4o,535,39,574,0.0120925,36.103.203.2,147768,1765602062000
1064777613,chatcmpl-CmC2VBOKWcVKutOMetZswsZxeNgx8,gpt-4o,171,45,216,0.0061425,36.103.203.2,147768,1765602061000
1064777567,chatcmpl-CmC2QqkTHluRoqpLlrWUuuftDUOcU,gpt-4o,16998,356,17354,0.322385,36.103.203.2,147768,1765602059000
1064720288,chatcmpl-CmBXMWCXVwOn35eZe17Z4G0D61NZ5,gpt-4o,1306,94,1400,0.029435,36.103.203.2,147768,1765600129000
1064720238,chatcmpl-CmBXKEHKVoWEJ68OdryiPIHRhPGKF,gpt-4o,2698,135,2833,0.056665,36.103.203.3,149056,1765600128000
1064720109,chatcmpl-CmBXG34Jw2nblEBk4Wz8ckMP1XeZ6,gpt-4o,498,49,547,0.012145,36.103.203.2,147768,1765600124000
1064720057,chatcmpl-CmBXFyMGMXnR4phUgd1YglBDgJl3a,gpt-4o,145,31,176,0.0047075,36.103.203.2,147768,1765600122000
1064720018,chatcmpl-CmBXESW1tGzz4UqhbvCnPnGkIvwZ0,gpt-4o,583,37,620,0.0127925,36.103.203.2,147768,1765600121000
1064719958,chatcmpl-CmBXCskSoeKBfCOTL0DpcROSB10LX,gpt-4o,219,38,257,0.0064925,36.103.203.2,147768,1765600120000
1064719916,chatcmpl-CmBXBNzwrHghEHeUrYzfr0BtCcsaA,gpt-4o,554,36,590,0.012215,36.103.203.3,147768,1765600118000
1064719845,chatcmpl-CmBXAUBbVAbmPrpORzpfbhpZ6flF8,gpt-4o,190,41,231,0.006195,36.103.203.3,147768,1765600117000
1064719802,chatcmpl-CmBX9rXD0maGhv8YTmBEFtvcjtucF,gpt-4o,576,39,615,0.01281,36.103.203.2,147768,1765600116000
1064719770,chatcmpl-CmBX88968L3pszSnP71KsFcJbw9Gb,gpt-4o,212,51,263,0.00728,36.103.203.2,147768,1765600115000
1064719726,chatcmpl-CmBX11EHQMuxRNM371Vok06bH2Juv,gpt-4o,26898,548,27446,0.509075,36.103.203.3,147768,1765600113000
1064650427,chatcmpl-CmB0XbI1fv9jcfJ5m0FORjcoMHRs6,gpt-4o,1315,94,1409,0.0295925,36.103.203.2,147768,1765598095000
1064650365,chatcmpl-CmB0VDLFKkl7ZDa6w1iosEeEzLUUG,gpt-4o,2707,135,2842,0.0568225,36.103.203.2,149056,1765598093000
1064650151,chatcmpl-CmB0Rykkcdze3H5xdUSxqEwFDzo4y,gpt-4o,537,40,577,0.0121975,36.103.203.3,147768,1765598088000
1064650103,chatcmpl-CmB0PiMEnW3pLoH8E8oKyN9VJ8wmn,gpt-4o,188,45,233,0.00644,36.103.203.3,147768,1765598086000
1064650012,chatcmpl-CmB0NToAOvTpLfanZYi2DzLJFD0jE,gpt-4o,559,45,604,0.0129325,36.103.203.3,147768,1765598084000
1064649458,chatcmpl-CmB09EDzpdJBTCIYF60UjREP1bfVQ,gpt-4o,192,42,234,0.0063,36.103.203.2,147768,1765598070000
1064649399,chatcmpl-CmB02d5LNvZaJwBKvpMWDjpaSrKoG,gpt-4o,38090,273,38363,0.685685,36.103.203.2,147768,1765598069000
1064572291,chatcmpl-CmASQSWQFIDew0kBW1QiQkjMy3AFw,gpt-4o,1325,94,1419,0.0297675,36.103.203.2,147768,1765595980000
1064572222,chatcmpl-CmASOSQvSUbfuTYa4AUImyjXLqDHl,gpt-4o,2716,136,2852,0.05705,36.103.203.3,149056,1765595978000
